time,HT
2006-03-07 18:00:00,4.194219632803002
2006-03-07 19:00:00,4.166349848087628
2006-03-07 20:00:00,4.145405442227001
2006-03-07 21:00:00,4.132497446845748
2006-03-07 22:00:00,4.117774869060607
2006-03-07 23:00:00,4.107727709951918
2006-03-08 00:00:00,4.101960851434274
2006-03-08 01:00:00,4.096422197296115
2006-03-08 02:00:00,4.091556340450811
2006-03-08 03:00:00,4.09014669158201
2006-03-08 04:00:00,4.0807514625015004
2006-03-08 05:00:00,4.0816240957795475
2006-03-08 06:00:00,4.0815685279007745
2006-03-08 07:00:00,4.0813626566537105
2006-03-08 08:00:00,4.079371690896745
2006-03-08 09:00:00,4.0796823706765935
2006-03-08 10:00:00,4.076032369363678
2006-03-08 11:00:00,4.076231475940134
2006-03-08 12:00:00,4.077332006834992
2006-03-08 13:00:00,4.075135867013915
2006-03-08 14:00:00,4.076148027133222
2006-03-08 15:00:00,4.078291911856027
2006-03-08 16:00:00,4.079545867332913
2006-03-08 17:00:00,4.0799988932132605
2006-03-08 18:00:00,4.077664085153616
2006-03-08 19:00:00,4.075305446602707
2006-03-08 20:00:00,4.074904317384603
2006-03-08 21:00:00,4.07177790197748
2006-03-08 22:00:00,4.07229111363789
2006-03-08 23:00:00,4.074220355259062
2006-03-09 00:00:00,4.076380276559208
2006-03-09 01:00:00,4.0768285352439575
2006-03-09 02:00:00,4.079827495026379
2006-03-09 03:00:00,4.0822725793298975
2006-03-09 04:00:00,4.079836025362764
2006-03-09 05:00:00,4.078949959740607
2006-03-09 06:00:00,4.078057154172895
2006-03-09 07:00:00,4.078982143788207
2006-03-09 08:00:00,4.082874956869171
2006-03-09 09:00:00,4.080941869158736
2006-03-09 10:00:00,4.080986680403909
2006-03-09 11:00:00,4.082117353185736
2006-03-09 12:00:00,4.081415019950831
2006-03-09 13:00:00,4.080594395358139
2006-03-09 14:00:00,4.07984966783821
2006-03-09 15:00:00,4.081976834464397
2006-03-09 16:00:00,4.0814123480650535
2006-03-09 17:00:00,4.081493099672077
2006-03-09 18:00:00,4.080796111610992
2006-03-09 19:00:00,4.080833565564593
2006-03-09 20:00:00,4.081533763889613
2006-03-09 21:00:00,4.081493733519614
2006-03-09 22:00:00,4.085174274734861
2006-03-09 23:00:00,4.086428201988127
2006-03-10 00:00:00,4.086054429506081
2006-03-10 01:00:00,4.0864972547894896
2006-03-10 02:00:00,4.087219424285665
2006-03-10 03:00:00,4.082734128283152
2006-03-10 04:00:00,4.082956111693388
2006-03-10 05:00:00,4.081115969998063
2006-03-10 06:00:00,4.08022463928655
2006-03-10 07:00:00,4.07920076692928
2006-03-10 08:00:00,4.079154636293125
2006-03-10 09:00:00,4.07816178270678
2006-03-10 10:00:00,4.079784741233022
2006-03-10 11:00:00,4.078197015184069
2006-03-10 12:00:00,4.077792245060745
2006-03-10 13:00:00,4.0777950501269515
2006-03-10 14:00:00,4.079337988816575
2006-03-10 15:00:00,4.079243866822277
2006-03-10 16:00:00,4.080277726901088
2006-03-10 17:00:00,4.080626948716889
2006-03-10 18:00:00,4.080797533024763
2006-03-10 19:00:00,4.084364887995985
2006-03-10 20:00:00,4.086250000945223
2006-03-10 21:00:00,4.086235658433271
2006-03-10 22:00:00,4.085986801921598
2006-03-10 23:00:00,4.085007995634543
2006-03-11 00:00:00,4.084867341486873
2006-03-11 01:00:00,4.084420900658866
2006-03-11 02:00:00,4.085309636237345
2006-03-11 03:00:00,4.083712232735097
2006-03-11 04:00:00,4.083572258818367
2006-03-11 05:00:00,4.083442712396211
2006-03-11 06:00:00,4.0842655279193645
2006-03-11 07:00:00,4.085023955332763
2006-03-11 08:00:00,4.0861418509848075
2006-03-11 09:00:00,4.087079421234597
2006-03-11 10:00:00,4.087161822927861
2006-03-11 11:00:00,4.087161822927861
2006-03-11 12:00:00,4.087161822927861
2006-03-11 13:00:00,4.0868728091725455
2006-03-11 14:00:00,4.0868728091725455
2006-03-11 15:00:00,4.0868728091725455
2006-03-11 16:00:00,4.08687279618466
2006-03-11 17:00:00,4.086929023492853
2006-03-11 18:00:00,4.08687004491912
2006-03-11 19:00:00,4.08687004491912
2006-03-11 20:00:00,4.08687004491912
2006-03-11 21:00:00,4.086961261146806
2006-03-11 22:00:00,4.087842549785753
2006-03-11 23:00:00,4.08783546352505
2006-03-12 00:00:00,4.0879107412886215
2006-03-12 01:00:00,4.087878537167842
2006-03-12 02:00:00,4.088270525058096
2006-03-12 03:00:00,4.08847252772537
2006-03-12 04:00:00,4.088835673672913
2006-03-12 05:00:00,4.08874087369898
2006-03-12 06:00:00,4.088761817236842
2006-03-12 07:00:00,4.0889033857189725
2006-03-12 08:00:00,4.088482084898845
2006-03-12 09:00:00,4.088609509910472
2006-03-12 10:00:00,4.08865492488443
2006-03-12 11:00:00,4.087656979467643
2006-03-12 12:00:00,4.087629657596874
2006-03-12 13:00:00,4.087767042727568
2006-03-12 14:00:00,4.087597569540074
2006-03-12 15:00:00,4.087597569540074
2006-03-12 16:00:00,4.087385745040747
2006-03-12 17:00:00,4.086457498125408
2006-03-12 18:00:00,4.086674583124284
2006-03-12 19:00:00,4.086549528035863
2006-03-12 20:00:00,4.08636223325026
2006-03-12 21:00:00,4.087086836305727
2006-03-12 22:00:00,4.08722443308835
2006-03-12 23:00:00,4.088316547089737
2006-03-13 00:00:00,4.088331099016017
2006-03-13 01:00:00,4.088660307803251
2006-03-13 02:00:00,4.088080544822692
2006-03-13 03:00:00,4.088368294755494
2006-03-13 04:00:00,4.088338326451207
2006-03-13 05:00:00,4.088006057661782
