OBS_TIME_LOC,HT,LONG,LAT,time
2005-11-28 19:00:00,1.65,153.4772,-28.50470000000001,2005-11-28 19:00:00
2005-11-28 20:00:00,1.615,153.4772,-28.50470000000001,2005-11-28 20:00:00
2005-11-28 21:00:00,1.5471428571428572,153.4772,-28.5047,2005-11-28 21:00:00
2005-11-28 22:00:00,1.485,153.4772,-28.504700000000003,2005-11-28 22:00:00
2005-11-28 23:00:00,1.4575,153.4772,-28.50470000000001,2005-11-28 23:00:00
2005-11-29 00:00:00,1.4466666666666663,153.4772,-28.50470000000001,2005-11-29 00:00:00
2005-11-29 01:00:00,1.42375,153.4772,-28.5047,2005-11-29 01:00:00
2005-11-29 02:00:00,1.42375,153.4772,-28.5047,2005-11-29 02:00:00
2005-11-29 03:00:00,1.42375,153.4772,-28.5047,2005-11-29 03:00:00
2005-11-29 04:00:00,1.42375,153.4772,-28.5047,2005-11-29 04:00:00
2005-11-29 05:00:00,1.42375,153.4772,-28.5047,2005-11-29 05:00:00
2005-11-29 06:00:00,1.42375,153.4772,-28.5047,2005-11-29 06:00:00
2005-11-29 07:00:00,1.42375,153.4772,-28.504700000000003,2005-11-29 07:00:00
2005-11-29 08:00:00,1.42375,153.4772,-28.5047,2005-11-29 08:00:00
2005-11-29 09:00:00,1.42375,153.4772,-28.50470000000001,2005-11-29 09:00:00
2005-11-29 10:00:00,1.405,153.4772,-28.504700000000003,2005-11-29 10:00:00
2005-11-29 11:00:00,1.4490909090909092,153.4772,-28.50470000000001,2005-11-29 11:00:00
2005-11-29 12:00:00,1.4900000000000002,153.4772,-28.50470000000001,2005-11-29 12:00:00
2005-11-29 13:00:00,1.5300000000000002,153.4772,-28.5047,2005-11-29 13:00:00
2005-11-29 14:00:00,1.5888888888888892,153.4772,-28.504700000000003,2005-11-29 14:00:00
2005-11-29 15:00:00,1.6225,153.4772,-28.50470000000001,2005-11-29 15:00:00
2005-11-29 16:00:00,1.6225,153.4772,-28.50470000000001,2005-11-29 16:00:00
2005-11-29 17:00:00,1.6225,153.4772,-28.504700000000003,2005-11-29 17:00:00
2005-11-29 18:00:00,1.6225,153.4772,-28.50470000000001,2005-11-29 18:00:00
2005-11-29 19:00:00,1.6225,153.4772,-28.504700000000003,2005-11-29 19:00:00
2005-11-29 20:00:00,1.6225,153.4772,-28.50470000000001,2005-11-29 20:00:00
2005-11-29 21:00:00,1.6366666666666667,153.4772,-28.50470000000001,2005-11-29 21:00:00
2005-11-29 22:00:00,1.6071428571428572,153.4772,-28.504700000000003,2005-11-29 22:00:00
2005-11-29 23:00:00,1.568571428571429,153.4772,-28.5047,2005-11-29 23:00:00
2005-11-30 00:00:00,1.538333333333333,153.4772,-28.5047,2005-11-30 00:00:00
2005-11-30 01:00:00,1.515,153.4772,-28.5047,2005-11-30 01:00:00
2005-11-30 02:00:00,1.495,153.4772,-28.5047,2005-11-30 02:00:00
2005-11-30 03:00:00,1.48,153.4772,-28.5047,2005-11-30 03:00:00
2005-11-30 04:00:00,1.48,153.4772,-28.5047,2005-11-30 04:00:00
2005-11-30 05:00:00,1.465,153.4772,-28.504700000000003,2005-11-30 05:00:00
2005-11-30 06:00:00,1.45,153.4772,-28.5047,2005-11-30 06:00:00
2005-11-30 07:00:00,1.4399999999999995,153.4772,-28.5047,2005-11-30 07:00:00
2005-11-30 08:00:00,1.4230769230769231,153.4772,-28.50470000000001,2005-11-30 08:00:00
2005-11-30 09:00:00,1.4230769230769231,153.47719999999995,-28.50470000000001,2005-11-30 09:00:00
2005-11-30 10:00:00,1.4230769230769231,153.47719999999995,-28.50470000000001,2005-11-30 10:00:00
2005-11-30 11:00:00,1.4970588235294118,153.4772,-28.50470000000001,2005-11-30 11:00:00
2005-11-30 12:00:00,1.5746666666666669,153.4772,-28.50470000000001,2005-11-30 12:00:00
2005-11-30 13:00:00,1.632857142857143,153.4772,-28.50470000000001,2005-11-30 13:00:00
2005-11-30 14:00:00,1.6827272727272726,153.4772,-28.50470000000001,2005-11-30 14:00:00
2005-11-30 15:00:00,1.725,153.4772,-28.50470000000001,2005-11-30 15:00:00
2005-11-30 16:00:00,1.7683333333333329,153.4772,-28.504700000000003,2005-11-30 16:00:00
2005-11-30 17:00:00,1.7683333333333329,153.4772,-28.5047,2005-11-30 17:00:00
