,Unnamed: 0,Unnamed: 0.1,Date,HT,LONG,LAT,locName
63,63,63,2005-11-26 12:00:00,1.67,153.4772,-28.5047,The Pocket (Marshalls Creek)
64,64,64,2005-11-26 12:00:00,1.67,153.4772,-28.5047,The Pocket (Marshalls Creek)
65,65,65,2005-11-26 12:00:00,1.67,153.4772,-28.5047,The Pocket (Marshalls Creek)
66,66,66,2005-11-26 12:00:00,1.67,153.4772,-28.5047,The Pocket (Marshalls Creek)
67,67,67,2005-11-26 13:00:00,1.67,153.4772,-28.5047,The Pocket (Marshalls Creek)
68,68,68,2005-11-26 13:00:00,1.67,153.4772,-28.5047,The Pocket (Marshalls Creek)
69,69,69,2005-11-26 13:00:00,1.67,153.4772,-28.5047,The Pocket (Marshalls Creek)
70,70,70,2005-11-26 13:00:00,1.68,153.4772,-28.5047,The Pocket (Marshalls Creek)
71,71,71,2005-11-26 13:00:00,1.68,153.4772,-28.5047,The Pocket (Marshalls Creek)
72,72,72,2005-11-26 13:00:00,1.68,153.4772,-28.5047,The Pocket (Marshalls Creek)
73,73,73,2005-11-26 13:00:00,1.69,153.4772,-28.5047,The Pocket (Marshalls Creek)
74,74,74,2005-11-26 13:00:00,1.69,153.4772,-28.5047,The Pocket (Marshalls Creek)
75,75,75,2005-11-26 13:00:00,1.7,153.4772,-28.5047,The Pocket (Marshalls Creek)
76,76,76,2005-11-26 13:00:00,1.7,153.4772,-28.5047,The Pocket (Marshalls Creek)
77,77,77,2005-11-26 13:00:00,1.7,153.4772,-28.5047,The Pocket (Marshalls Creek)
78,78,78,2005-11-26 13:00:00,1.7,153.4772,-28.5047,The Pocket (Marshalls Creek)
79,79,79,2005-11-26 13:00:00,1.71,153.4772,-28.5047,The Pocket (Marshalls Creek)
80,80,80,2005-11-26 13:00:00,1.71,153.4772,-28.5047,The Pocket (Marshalls Creek)
81,81,81,2005-11-26 13:00:00,1.71,153.4772,-28.5047,The Pocket (Marshalls Creek)
82,82,82,2005-11-26 13:00:00,1.71,153.4772,-28.5047,The Pocket (Marshalls Creek)
83,83,83,2005-11-26 13:00:00,1.71,153.4772,-28.5047,The Pocket (Marshalls Creek)
84,84,84,2005-11-26 13:00:00,1.71,153.4772,-28.5047,The Pocket (Marshalls Creek)
85,85,85,2005-11-26 14:00:00,1.72,153.4772,-28.5047,The Pocket (Marshalls Creek)
86,86,86,2005-11-26 14:00:00,1.72,153.4772,-28.5047,The Pocket (Marshalls Creek)
87,87,87,2005-11-26 14:00:00,1.72,153.4772,-28.5047,The Pocket (Marshalls Creek)
88,88,88,2005-11-26 14:00:00,1.72,153.4772,-28.5047,The Pocket (Marshalls Creek)
89,89,89,2005-11-26 14:00:00,1.72,153.4772,-28.5047,The Pocket (Marshalls Creek)
